基金代码,基金名称,1月(%) (总回报率),3月(%) (总回报率),6月(%) (总回报率),1年(%) (年化回报率),2年(%) (年化回报率),今年以来(%) (总回报率),设立以来(%)(总回报率),类型
005044,国寿安保健康科学混合C,-6.09,-10.71,-14.92,0,0,-13.88,-13.66,混合型
002772,光大保德信产业新动力灵活配置混合,-13.25,-13.57,-10.97,-12.42,-4.14,-13.98,-8.3,混合型
005805,华泰柏瑞医疗健康混合,-9.73,-12.03,0,0,0,-12.93,-12.93,混合型
002845,上投摩根安鑫回报混合C,-0.51,-1.61,-2.29,-1.99,0.9,-1.13,2.32,混合型
005997,天弘裕利灵活配置混合C,0.3,0.69,0,0,0,1.82,-7.6,混合型
005220,海富通聚优精选混合(FOF),-10.91,-14.02,-14.99,0,0,-20.59,-20.69,混合型
005583,易方达港股通红利灵活配置混合,-11.23,-17.54,-18.64,0,0,-23.51,-23.51,混合型
001349,富国改革动力混合,-12.98,-17.54,-26.83,-42.64,-26.79,-37.37,-59.1,混合型
519692,交银施罗德成长混合A,-9.91,-16.4,-18.89,-26.33,-15.69,-20.66,302.67,混合型
002624,广发优企精选灵活配置混合,-12.02,-14.93,-15.5,-7.87,6.14,-13.77,13.22,混合型
151001,银河稳健混合,-8.77,-13.47,-11.87,-14.97,-2.65,-15.75,749.44,混合型
530016,建信恒稳价值混合,-8.45,-10.4,-13.72,-16.81,1.68,-18.72,92.58,混合型
005523,泰康颐年混合A,0.16,0.81,0,0,0,1.93,1.93,混合型
630001,华商领先企业混合,-7.36,-10.94,-22.34,-35.41,-18.77,-29.71,57.35,混合型
000887,上投摩根稳进回报混合,-0.51,-1.53,-1.02,-3.32,-0.4,-3.32,16.92,混合型
550015,信诚至远灵活配置混合A,-0.32,-1.85,-2.78,-5.36,0,-5.08,-3,混合型
000195,工银瑞信保本3号混合A,-0.19,0.77,1.74,3.85,2.26,3.95,43.26,混合型
398031,中海蓝筹混合,-8,-10.8,-17.09,-22.18,-6.48,-22.37,74.96,混合型
004423,华商研究精选灵活配置混合,-3.3,-8.82,-5.72,-1.31,0,-1.03,5.4,混合型
001215,博时沪港深优质企业灵活配置混合A,-6.99,-13.48,-18.2,-16.88,0.07,-20.9,-28.1,混合型
000167,广发聚优灵活配置混合A,-16.92,-22.56,-21.02,-26.41,-2.26,-28.38,16.45,混合型
000845,国投瑞银信息消费灵活配置混合,-8.12,-14.7,-23.82,-25.13,-8.66,-25.18,42.02,混合型
620004,金元顺安价值增长混合,-7.52,-16.25,-18.65,-32.63,-28.53,-24.97,-45.9,混合型
000529,广发竞争优势灵活配置混合,-14.18,-19.42,-20.95,-30.52,-3.79,-30.48,33.2,混合型
006322,中欧预见养老目标日期2035三年持有期混合(FOF)C,0,0,0,0,0,0.07,0.07,混合型
519767,交银科技创新灵活配置混合,-11.51,-12.89,-18.61,-8.32,-10.63,-3.98,-9.92,混合型
003340,华安睿享定期开放混合C,0.53,4.51,5.51,7.56,0,7.96,4.88,混合型
257030,国联安德盛优势混合,-7.7,-13.98,-17.94,-20.15,-5.97,-22.22,91.37,混合型
270050,广发新经济混合,-17.71,-23.14,-23.49,-27.81,-2.49,-27.84,66.4,混合型
002258,大成国企改革灵活配置混合,-13.25,-15.23,-18.17,-23.33,0,-25.81,-22.1,混合型
000363,国泰聚信价值优势灵活配置混合C,-13.49,-17.26,-18.4,-21.94,-6.96,-24.85,84.81,混合型
003633,招商稳乾定期开放灵活配置混合C,-1.66,-6.19,-6.43,-7.13,0,-7.25,-0.58,混合型
001892,长盛新兴成长主题灵活配置混合,-10.2,-11.1,-11.26,-13.16,-4.89,-17.97,-2.3,混合型
001088,华宝国策导向混合,-8.93,-16.01,-18.73,-29.72,-17.22,-25.74,-44.9,混合型
000328,上投摩根转型动力灵活配置混合,-12.07,-21.89,-27.52,-44.07,-14.69,-37.14,8.5,混合型
610004,信达澳银中小盘混合,-8.39,-12.64,-12.64,-21.5,-7.54,-17.76,3.7,混合型
320003,诺安先锋混合,-9.38,-13.18,-16.7,-21.72,-9.32,-21.52,316,混合型
483003,工银精选平衡混合,-13.93,-21.4,-25.55,-34.47,-17.51,-31.91,39.21,混合型
005416,鹏华尊惠18个月定期开放混合A,-2.96,-4.19,-5.03,0,0,-5.21,-5.21,混合型
001615,中欧睿尚定期开放混合,-1.23,-2.44,-2.8,-2.89,-0.95,-2.25,4.1,混合型
001723,华商新动力灵活配置混合,-9.4,-16.08,-30.8,-37.69,-29.54,-31.65,-49.9,混合型
166006,中欧行业成长混合(LOF)A,-10.22,-14.48,-19.37,-20.53,2.69,-20.01,31.76,混合型
004881,中银量化价值混合,-9.64,-14.75,-15.91,0,0,-25.85,-25.63,混合型
002446,广发稳鑫保本混合,-0.46,0,0.94,1.71,2.87,0.75,7.1,混合型
001123,鹏华弘利灵活配置混合C,-0.88,-1.23,-0.24,1.01,2.02,0.8,12.83,混合型
002653,泰康沪港深精选灵活配置混合,-9.88,-11.99,-11.3,-12.95,2.4,-15.03,13.88,混合型
257050,国联安主题驱动混合,-11.46,-17.11,-17.62,-21.46,-4.88,-23.11,13.91,混合型
004806,长信先机两年定期开放灵活配置混合,-2.28,-2.09,-1.94,0,0,-3.8,-3.8,混合型
004641,万家量化睿选灵活配置混合,-8.97,-14.51,-19.67,-21.91,0,-20.79,-17.98,混合型
040025,华安科技动力混合,-9.85,-14.75,-17.56,-19.77,-2.6,-19.18,213.06,混合型
000595,嘉实泰和混合,-13.41,-16.82,-23.35,-24.9,-4.76,-25.13,78.7,混合型
005330,汇添富民安增益定期开放混合C,0.09,-0.61,0.06,0,0,0.81,0.81,混合型
001795,上投摩根文体休闲灵活配置混合,-14.27,-25.69,-30.67,-40.57,-12.96,-36.09,-29.7,混合型
000841,富国新回报灵活配置混合A/B,-1.76,-1.76,-0.18,1.09,1.51,-0.09,11.6,混合型
001979,南方沪港深价值主题灵活配置混合,-13.84,-17.82,-19.07,-28.52,-15,-26.4,-25.3,混合型
001000,中欧明睿新起点混合,-13.76,-20.18,-30.18,-35.93,-15.18,-36.95,-29.2,混合型
003495,鹏华弘尚灵活配置混合A,-0.53,-0.57,0.15,-0.28,1.65,-0.24,3.34,混合型
257020,国联安德盛精选混合,-14.11,-26.83,-33.04,-32.52,-8.42,-32.9,461.09,混合型
001225,中邮趋势精选灵活配置混合,-2.63,-13.26,-18.94,-31.01,-22.03,-25.34,-55.5,混合型
162214,泰达宏利领先中小盘混合,-10.2,-18.23,-23.33,-29.48,-8.89,-30.71,-28.7,混合型
005910,广发龙头优选灵活配置混合,-3.1,0,0,0,0,-2.71,-2.71,混合型
004232,中欧价值发现混合C,-11.34,-15.91,-14.45,-17.35,0,-18.17,1.14,混合型
002363,华安安康灵活配置混合A,-1.53,0,0,0,0,-1.33,-1.33,混合型
002777,招商安荣灵活配置混合C,-4.7,-7.78,0,0,0,-9.76,-9.76,混合型
519678,银河消费驱动混合,-14.49,-21.31,-21.67,-31.32,-10.97,-29.55,20.4,混合型
002259,鹏华健康环保灵活配置混合,-11.08,-20.6,-23.03,-25.21,-2.7,-24.05,-2.1,混合型
233006,摩根士丹利华鑫领先优势混合,-10.96,-13.91,-19.38,-22.05,-6.89,-23.79,69.64,混合型
001475,易方达国防军工混合,-10.17,-13.64,-21.15,-26.99,-13.51,-23.14,-32.9,混合型
002851,南方品质优选灵活配置混合,-10.92,-18.64,-17.85,-17.68,8.93,-23.23,18.3,混合型
004802,浦银安盛安久回报定期开放混合C,-1.55,-2.13,-1.88,0,0,-1.87,-1.87,混合型
000166,中海策略精选灵活配置混合,-5.28,-7.83,-12.24,-13.39,0,-12.57,-9.47,混合型
040005,华安宏利混合,-10.16,-12.49,-16.04,-18.06,-4.45,-21.02,304.63,混合型
005769,南方共享经济灵活配置混合,-1.33,0,0,0,0,-0.95,-0.95,混合型
000574,宝盈新价值灵活配置混合,-11.17,-11.89,-18.98,-31.72,-18.43,-29.57,48.36,混合型
000940,富国中小盘精选混合,-10.91,-14.41,-24.79,-30.94,-7.85,-30.55,-2,混合型
410006,华富策略精选混合,-12.1,-20.94,-26.1,-30.74,-18.73,-29.79,17.23,混合型
217012,招商行业领先混合A,-6.03,-11,-20.42,-28.81,-5.38,-29.47,30.96,混合型
002714,鹏华金城保本混合,-0.39,-0.1,1.88,3.31,1.04,3.52,2.9,混合型
000512,国泰结构转型灵活配置混合A,-9.92,-7.92,-16.79,-18.14,-2.64,-19.04,61.6,混合型
000652,博时裕隆灵活配置混合,-7.5,-11.32,-14.71,-11.76,-4.82,-11.18,81.89,混合型
002296,长城久安保本混合,0.16,0.15,0.19,0.94,2.07,0.47,6.9,混合型
002389,招商安德保本混合A,-0.28,-0.28,0.85,3.07,2.76,2.97,7.4,混合型
006008,诺安积极配置混合C,-1.5,0.06,0,0,0,0.06,0.06,混合型
000527,南方新优享灵活配置混合,-9.81,-14.03,-13.5,-14.91,4.46,-17.26,109.5,混合型
090009,大成行业轮动混合,-14.51,-18.9,-23.61,-28.16,-6.14,-29.1,18.4,混合型
000664,国联安通盈灵活配置混合A,-3.61,-3.91,0.96,-4.15,0.48,-7.05,27.66,混合型
121005,国投瑞银创新动力混合,-7.57,-11.49,-17.06,-22.74,-7.44,-18.07,198.65,混合型
001759,嘉实成长增强灵活配置混合,-14.21,-22.44,-29.47,-31.03,0,-32.58,-19.1,混合型
004573,新华鑫泰灵活配置混合,-3,-5.41,-15.46,-18.98,0,-16.39,-17.18,混合型
002424,博时文体娱乐主题混合,-9.16,-14.48,-23.58,-20.29,0,-23.01,-16.7,混合型
001382,易方达国企改革混合,-19.9,-25.79,-23.51,-22.17,0,-23.59,-20.3,混合型
002617,中银益利灵活配置混合C,-0.86,-0.67,0.78,2.98,3.21,2.59,8.54,混合型
070032,嘉实优化红利混合,-15.68,-19.18,-18.51,-19.18,6.03,-22.72,125.74,混合型
004139,中邮军民融合灵活配置混合,-6.42,-13.41,-16.99,-24.79,0,-20.4,-21.2,混合型
255010,国联安稳健混合,-5.54,-10.51,-13.49,-14.97,-3.04,-16.55,341.71,混合型
040020,华安升级主题混合,-7.93,-12.52,-20.53,-22.51,-10.63,-22.01,39.86,混合型
002317,招商睿逸稳健配置混合,-3.19,-5.24,-6.65,-7.29,-4.56,-7.11,-5.9,混合型
519196,万家新兴蓝筹灵活配置混合,-14.45,-21.25,-24.26,-19.5,3.13,-18.77,19.32,混合型
240017,华宝新兴产业混合,-11.7,-17.9,-23.28,-34.15,-13.96,-30.63,58.68,混合型
001117,中欧精选灵活配置定期开放混合A类,-8.66,-16.89,-14.98,-20.9,-2.48,-22.88,-26.2,混合型
000220,富国医疗保健行业混合,-11.91,-13.97,-16.23,-4.54,-7.11,-2.87,72.4,混合型
004947,汇添富盈润混合C,-0.67,-0.93,-0.05,-1.2,0,-2.18,3.04,混合型
519915,富国消费主题混合,-15.57,-20.31,-14.71,-17.16,-14.19,-20.45,-15.1,混合型
519033,海富通国策导向混合,-13.1,-19.84,-30.87,-41.09,-15.16,-39.03,29.75,混合型
360016,光大保德信行业轮动混合,-4.93,-11.32,-14.64,-24.8,-11.63,-25.1,53.83,混合型
340001,兴全可转债混合,-2.9,-4.69,-5.67,-5.97,-0.54,-6.84,614.83,混合型
070001,嘉实成长收益混合A,-11.29,-18.19,-24.44,-24.57,-9.39,-25.9,762.35,混合型
005128,华夏永康添福混合,-3.07,-3.75,-6.21,0,0,-4.67,-4.67,混合型
004263,华安沪港深机会灵活配置混合,-12.56,-18.39,-9.24,-6.13,0,-11.14,14.9,混合型
005137,长信量化价值精选混合,-8.44,-10.43,-14.12,0,0,-13.89,-13.89,混合型
002292,诺安益鑫灵活配置混合,-2.43,-2.25,-5.52,0,0,-6.77,-6.77,混合型
001309,东方红睿逸定期开放混合,-1.6,-3.88,-2.64,1.5,7.38,-1.83,28.9,混合型
002792,景顺长城顺益回报混合A,-1.57,-1.79,-0.88,-3.69,0,-2.44,7.66,混合型
270002,广发稳健增长混合,-7.96,-9.55,-11.24,-6.74,3.31,-10.64,675.89,混合型
005844,东方人工智能主题混合,-7.76,-14.23,0,0,0,-14.38,-14.38,混合型
166002,中欧新蓝筹混合A,-8.21,-10.64,-13.39,-18.23,-2.24,-18.56,218.02,混合型
003405,招商稳盛定期开放灵活配置混合C,-1.88,-5.47,-7,-6.86,0,-6.53,-1.99,混合型
002681,金鹰元和灵活配置混合A,-0.18,-3.22,0,0,0,-7.67,-7.67,混合型
005197,工银瑞信沪港深精选灵活配置混合A,-9.72,-14.41,-11.06,0,0,-16.66,-16.09,混合型
217013,招商中小盘精选混合,-8.18,-10.22,-19.47,-27.69,-5.42,-28.79,21.2,混合型
004576,新华恒益量化灵活配置混合,-2.08,-5.36,-10.77,-21.34,0,-18.85,-20.01,混合型
160805,长盛同智优势混合(LOF),-11.7,-17.49,-19.98,-24.92,-12.44,-26.28,36.29,混合型
001275,中邮创新优势灵活配置混合,-4.96,-7.26,-9,-10.23,-20.33,-7.26,-27.2,混合型
005039,鹏扬景兴混合A,-4.25,-4.21,-3.7,-2.77,0,-4.86,-0.45,混合型
002017,招商瑞丰灵活配置混合C,-3.48,-6.11,-7,-6.66,-0.44,-7.07,2.49,混合型
530005,建信优化配置混合,-6.98,-13.34,-18.49,-26.63,-9.69,-24.17,59.79,混合型
000567,广发聚祥灵活配置混合,-8.08,-11.44,-13.52,-20.67,-6.73,-21.38,47.8,混合型
003241,创金合信量化发现灵活配置混合A,-9.23,-15.26,-20.8,-26.91,-16.05,-24.13,-28.7,混合型
519005,海富通股票混合,-15.57,-22.17,-25,-29.25,-6.48,-21.49,130.79,混合型
519773,交银数据产业灵活配置混合,-11.95,-15.11,-23.79,-18.65,-19.38,-12.42,-33.7,混合型
161810,银华内需精选混合(LOF),-13.22,-27.05,-29.49,-39.91,-21.54,-35.67,0.49,混合型
519997,长信银利精选混合,-7.31,-9.67,-13.54,-16.9,1.33,-14.21,311.64,混合型
213003,宝盈策略增长混合,-10.58,-16.43,-24.46,-29.69,-21.28,-28.31,38.28,混合型
001809,中信建投智信物联网灵活配置混合A,-13.24,-22.3,-27.23,-36.34,-13.22,-33,-24.69,混合型
001720,工银瑞信新增利混合,-0.48,-0.38,0.68,1.27,0,1.76,3.9,混合型
519995,长信金利趋势混合,-7.19,-13.5,-16.02,-20.29,-13.8,-19.6,132.93,混合型
005228,汇添富港股通专注成长混合,-12.1,-21.51,-20.62,0,0,-23.79,-28.34,混合型
005075,富国研究量化精选混合,-11.07,-14.87,-19.94,0,0,-25.55,-26.29,混合型
020022,国泰策略价值灵活配置混合,-7.1,-9.41,-11.6,-17.02,0,-16.27,-10.88,混合型
630011,华商主题精选混合,-12.5,-16.61,-28.48,-36.36,-29.17,-31.71,39.85,混合型
003658,长盛量化多策略灵活配置混合,-10.43,-17.61,-21.16,-21.89,0,-22.68,-15.8,混合型
005258,景顺长城量化平衡灵活配置混合,-6.17,-9.83,-11.33,0,0,-13.86,-13.86,混合型
005028,鹏华研究精选灵活配置混合,-7.28,-14.17,-19.32,-20.57,0,-21.46,-20.09,混合型
580007,东吴安享量化灵活配置混合,-8.48,-12.86,-17.23,-17.61,0,-19.6,-4.25,混合型
005812,鹏华产业精选灵活配置混合,-22.23,-28.77,0,0,0,-32.78,-32.78,混合型
001827,富国研究优选沪港深灵活配置混合,-9.91,-14.53,-17.77,-23.05,-4.41,-24.26,1.8,混合型
210004,金鹰稳健成长混合,-12.29,-18.45,-25.7,-31.46,-20.79,-30.23,55.79,混合型
070019,嘉实价值优势混合,-12.34,-17.3,-12.99,-11.5,2.38,-12.93,66.63,混合型
002628,招商安博灵活配置混合A,-4.58,-5.31,0,0,0,-6.98,-2.96,混合型
001500,泓德远见回报混合,-12.01,-16.22,-15.37,-12.24,-2.19,-11.65,15.75,混合型
002124,广发新兴产业精选灵活配置混合,-12.23,-20.6,-23.11,-26.51,-6.76,-32.02,-0.2,混合型
160610,鹏华动力增长混合(LOF),-6.03,-9.45,-12.06,-24.47,-8.06,-23.04,67.97,混合型
090019,大成景恒混合A,-10.09,-11.49,0,0,0,-10.36,-10.36,混合型
000189,易方达保本一号混合,-0.29,0,0.69,1.24,2.84,0.59,8.84,混合型
004852,广发价值回报混合A,-0.32,0.18,1.53,0,0,4.59,5.24,混合型
000639,宝盈祥瑞混合,0.35,1.25,2.06,-1.13,0.62,-1.13,51.8,混合型
519013,海富通风格优势混合,-7.99,-12.08,-20.67,-35.71,-17.65,-29.29,18.42,混合型
005526,工银瑞信新生代消费灵活配置混合,-10.03,-13.4,-14.42,0,0,-17.09,-17.09,混合型
519062,海富通阿尔法对冲混合,-1.81,-2.56,5.07,9.56,7.73,5.46,41,混合型
001037,国投瑞银锐意改革灵活配置混合,-14.73,-22.36,-31.54,-42.47,-20.99,-37.45,-42.7,混合型
000251,工银瑞信金融地产行业混合,-3.04,0.81,-3.71,-8.42,6.09,-8.64,185.17,混合型
000591,中银健康生活混合,-5.55,-6.79,-4.95,-11.34,-4.77,-14.11,34.5,混合型
005216,南方全天候策略混合(FOF)C,-1.69,-3.02,-3.08,-3.48,0,-3.96,-3.44,混合型
519198,万家颐和保本混合,0.19,0.8,2.33,3.91,2.15,4.08,5.46,混合型
080005,长盛量化红利策略混合,-8.15,-10.67,-10.09,-9.2,-1.64,-9.94,108.25,混合型
000587,大成灵活配置混合,-12.89,-17.67,-22.49,-28.27,-8.39,-28.68,69.69,混合型
001532,华安文体健康主题灵活配置混合,-9.67,-15.98,-18.48,-22.51,0,-19.38,-12.2,混合型
005076,创金合信优选回报灵活配置混合,-3.61,-3.59,-6.09,-9.61,0,-9.6,-9.51,混合型
202212,南方平衡配置混合,-9.34,-13.05,-18.07,-22.85,0,-22.55,-21.79,混合型
519779,交银施罗德沪港深价值精选灵活配置混合,-6.2,-11.92,-12.27,-15.51,0,-18.34,7.55,混合型
550009,信诚中小盘混合,-12.56,-19.26,-27.41,-29.32,-13.91,-28.24,27.45,混合型
005739,富国转型机遇混合,-10.63,-14.44,-21.01,0,0,-21.05,-21.05,混合型
001071,华安媒体互联网混合,-8.04,-8.22,-15.33,-3.09,-8.02,-2.11,-2.8,混合型
519125,浦银安盛消费升级灵活配置混合A,-14.91,-22.43,-24.51,-35.25,-16.91,-31.04,12.4,混合型
004076,国联安锐意成长混合,-9.11,-10.39,-9.22,-14.21,0,-12.7,0.8,混合型
217021,招商优势企业混合,-9.52,-13.82,-21.9,-28.69,-9.3,-27.39,68.3,混合型
006201,景顺长城量化先锋混合,-9.37,0,0,0,0,-7.44,-7.44,混合型
270025,广发行业领先混合A,-11.12,-22.41,-28.41,-40.54,-15.51,-38.37,37.29,混合型
000880,富国研究精选灵活配置混合,-10.6,-16.58,-23.15,-28.08,-9.6,-28.44,12.2,混合型
162201,泰达宏利价值优化型成长类行业混合,-6.72,-12.72,-22.27,-25.54,-15.77,-23.34,514.66,混合型
005549,富国成长优选三年定期开放灵活配置混合,-3.09,-11.42,-16.48,0,0,-22.89,-22.89,混合型
001280,银华聚利灵活配置混合A,-11.01,-16.15,-19.28,-18.79,-4.29,-22.53,5.9,混合型
160812,长盛同益成长回报灵活配置混合(LOF),-7.89,-12.08,-17.04,-19.99,-8.58,-19.36,22.7,混合型
163412,兴全轻资产投资混合(LOF),-7.99,-9.59,-11.05,-9.86,0.58,-15.3,286.23,混合型
005088,嘉实新添辉定期开放灵活配置混合A,0.44,-0.19,2.6,3.78,0,3.31,5.4,混合型
470028,汇添富社会责任混合,-17.98,-30.11,-35.92,-42.08,-18.03,-34.52,16.3,混合型
001671,长城新策略灵活配置混合C,0.14,0,0.85,7.05,10.11,2.31,27.07,混合型
002456,招商安元保本混合A,-0.66,-1.03,-0.57,0.96,1.9,0.19,5.3,混合型
163415,兴全商业模式优选混合(LOF),-9.56,-16.43,-11.91,-5.23,-6.43,-6.94,121.9,混合型
470098,汇添富逆向投资混合,-16.89,-20.42,-20.93,-21.56,-8.98,-24.55,107.46,混合型
550008,信诚优胜精选混合,-12.2,-18.27,-22.83,-28.11,-8.43,-28.55,71.9,混合型
005589,长信企业精选两年定期开放灵活配置混合,-4.33,-4.66,0,0,0,-4.66,-4.66,混合型
002662,前海开源沪港深大消费主题精选灵活配置混合A,-8.06,-14.38,-13.83,-19.81,-2.25,-20.75,-5.3,混合型
002364,华安安康灵活配置混合C,-1.59,0,0,0,0,-1.47,-1.47,混合型
050201,博时价值增长贰号混合,-6.28,-11.98,-17.83,-21.76,-13.59,-21.76,43.67,混合型
160520,博时弘盈定期开放混合A,-1.83,-2.72,-7.22,-5.54,-2.32,-4.63,-4.2,混合型
001017,泰达宏利改革动力量化策略灵活配置混合A,-11.27,-16.8,-19.53,-25.36,-11.07,-23.21,14.36,混合型
040007,华安中小盘成长混合,-7,-13.22,-19.82,-24.05,-12.21,-22.58,23.68,混合型
393001,中海优势精选灵活配置混合,-5.08,-10.93,-19.24,-18.48,-12.16,-13.99,-30.44,混合型
217002,招商安泰平衡混合,-4.93,-5.82,-10.37,-15.02,-6.93,-13.94,235.05,混合型
005140,华夏睿磐泰荣混合A,-0.37,-0.09,0.23,0,0,-0.05,0.12,混合型
150103,银河银泰混合,-10.43,-17.71,-20.64,-27.28,-10.18,-27.84,417.93,混合型
233009,大摩华鑫多因子精选策略混合,-9.96,-18.57,-26.9,-34.56,-25.41,-31.42,58.75,混合型
206013,鹏华宏观灵活配置混合,-2.55,-2.64,0,0,0,-2.46,3.3,混合型
003513,中邮消费升级灵活配置混合,-4.84,-10.33,-13.34,-22.46,0,-17.17,-17.5,混合型
169104,东方红睿满沪港深灵活配置混合,-14.76,-22.42,-21.31,-18.66,10.65,-22.54,26.72,混合型
000534,长盛高端装备制造灵活配置混合,-7.26,-13.55,-17.1,-24.5,-10.93,-23.39,25.1,混合型
163409,兴全绿色投资混合(LOF),-7.23,-11.54,-19.27,-24.98,-12.5,-23.81,74.33,混合型
002767,泰康宏泰回报混合,-2.18,-2.55,-1.78,1.02,5.69,0.13,13.66,混合型
290006,泰信蓝筹精选混合,-15.18,-22.18,-30.43,-37.02,-21.45,-30.47,15.33,混合型
002228,长城新优选混合C,0.35,0.5,1.64,4.33,6.04,3.78,18.41,混合型
005403,南方融尚再融资主题精选灵活配置混合,-2.32,-3.41,-3.53,0,0,-3.23,-3.23,混合型
501053,东方红目标优选三年定期开放混合,-2.02,-2.03,-1.43,0,0,0.14,0.17,混合型
040001,华安创新混合,-6.49,-8.13,-17.95,-25.87,-11.95,-22.79,230.37,混合型
519772,交银施罗德新生活力灵活配置混合,-9.79,-14.67,-19.26,-6.17,0,-11.87,26.2,混合型
001170,泰达宏利复兴伟业灵活配置混合,-14.77,-21.55,-27.55,-29.49,-4.96,-32.25,-29,混合型
005619,融通红利机会主题精选灵活配置混合C,-1.95,-3.69,-7.14,0,0,-6.51,-6.51,混合型
040008,华安策略优选混合,-8.5,-8.88,-6.19,-8.84,12.15,-13.87,47.41,混合型
020018,国泰金鹿保本增值混合,0,0.39,1.67,2.99,1.38,3.2,53.34,混合型
001268,富国国家安全主题混合,-11.86,-18.14,-26.93,-20.03,-17.17,-17.44,-51.7,混合型
470009,汇添富民营活力混合A,-11.06,-17.77,-27.87,-30.02,-10.39,-29.98,175.25,混合型
004362,上投摩根安通回报混合C,-0.81,-1.78,-1.52,-2.08,0,-1.23,3.54,混合型
002605,融通新消费灵活配置混合,-6,-10.19,-14.87,-11.94,3.85,-12.49,12.8,混合型
000173,汇添富美丽30混合,-10.43,-16.9,-24.08,-19.59,-0.92,-22.09,93.3,混合型
610006,信达澳银产业升级混合,-12.87,-19.02,-27.2,-33.28,-19.83,-29.61,27.77,混合型
002784,东方红价值精选混合C,-3.05,-4.71,-5.7,-3.66,0.56,-3.06,1.16,混合型
001303,银华稳利灵活配置混合A,-0.22,-1.28,-10.16,-17.73,-5.81,-16.92,-7.2,混合型
000172,华泰柏瑞量化增强混合A,-8.76,-10.86,-13.93,-19.93,-0.12,-18.61,115.13,混合型
290005,泰信优势增长混合,-10.38,-17.6,-24.78,-28.28,-19.69,-23.43,52.65,混合型
000753,华宝量化对冲策略混合A,-0.52,-0.96,0.29,1.06,2.44,0.51,24.11,混合型
000541,华商创新成长灵活配置混合,-10.84,-16.06,-21.5,-35.39,-25.85,-35.54,3.14,混合型
070018,嘉实回报混合,-14.26,-18.86,-19.65,-21.78,0.39,-24.58,27.49,混合型
260111,景顺长城公司治理混合,-6.07,-10.67,-11.37,-11.52,4.25,-13.22,86.78,混合型
005445,华宝价值发现混合,-6.95,-8.99,-11.9,0,0,-17.33,-17.33,混合型
004933,招商丰拓灵活配置混合C,-4.76,-6.1,-7.06,-3.75,0,-3.67,-3.4,混合型
004234,中欧数据挖掘多因子灵活配置混合C,-10.09,-17.12,-21.96,-22.39,0,-21.96,-21.01,混合型
360006,光大保德信新增长混合,-4.43,-9.02,-11.95,-19,-2.7,-18.75,225.17,混合型
001074,华泰柏瑞量化驱动灵活配置混合A,-8.6,-10.63,-14.2,-21.91,-0.97,-19.29,-11.97,混合型
004666,长城久嘉创新成长灵活配置混合,-10.21,-14.37,-18.66,-21.63,0,-19.46,-19.99,混合型
180001,银华优势企业混合,-14.52,-22.76,-28.65,-30.48,-18.68,-31.13,277.11,混合型
001069,华泰柏瑞消费成长灵活配置混合,-14.52,-21.15,-23.99,-26.3,-16.22,-24.89,-17.6,混合型
166009,中欧新动力混合(LOF)A,-9.33,-11.74,-14.34,-20.89,-5.91,-21.5,123.44,混合型
240022,华宝资源优选混合,-4.62,-5.22,-10.71,-13.2,1.44,-15.66,31.1,混合型
519110,浦银安盛价值成长混合A,-10.76,-22.54,-32.84,-38.27,-20.58,-32.52,11.91,混合型
002669,华商万众创新灵活配置混合,-10.38,-16.26,-19.13,-25.15,-21.27,-22.41,-38.7,混合型
202003,南方绩优成长混合,-14.16,-19.5,-23.22,-24.85,-3.39,-27.22,249.5,混合型
000557,国投瑞银新机遇灵活配置混合C,-4.84,-7.05,-10.41,-10.28,-1.68,-11.95,33.41,混合型
005133,兴业量化精选灵活配置混合,-6.43,-11.67,-20.3,0,0,-25.78,-25.75,混合型
630008,华商策略精选混合,-9.42,-13.22,-18.76,-14.69,-5.57,-15.89,26,混合型
000431,鹏华品牌传承灵活配置混合,-22.57,-29.68,-27.86,-29.59,-3.18,-31.51,8.38,混合型
000256,上投摩根红利回报混合A,-0.74,-4.47,-5.15,-7.22,-1.95,-7.03,29.91,混合型
003044,东方红战略精选沪港深混合A,-2.94,-4.28,-4.21,-4.8,2.33,-4.62,5.13,混合型
000844,南方绝对收益策略定期开放混合,-0.44,-1.31,-2.7,3.39,4.14,0.63,25.87,混合型
398011,中海分红增利混合,-8.81,-12.61,-17.49,-23.57,-4.03,-23.53,118.23,混合型
519726,交银施罗德荣祥保本混合,0.19,0.85,2.51,4.84,2.59,4.94,49.35,混合型
002307,银华多元视野灵活配置混合,-7.36,-10.08,-14.29,-15.87,-0.62,-18.5,4.4,混合型
004231,中欧行业成长混合C,-10.29,-14.66,-19.7,-21.12,0,-20.51,6.87,混合型
003508,华安睿安定期开放混合A,-2.61,-5.54,-4.39,1.69,0,-0.7,3.08,混合型
000571,中邮双动力混合,-0.22,0.07,-0.15,-8.3,-8.52,2.95,35.9,混合型
004275,浦银安盛安恒回报定期开放混合C,-1.16,0,0,0,0,-1.13,-1.13,混合型
100020,富国天益价值混合,-13.39,-17.82,-18.07,-15.65,1.78,-21.31,790.78,混合型
000215,广发趋势优选灵活配置混合,-1.5,-1.11,0.51,3.08,7.41,1.56,72.13,混合型
001209,前海开源一带一路主题精选灵活配置混合A,-8.26,-10.53,-13.53,-23.76,-17.47,-15.65,-27.8,混合型
001927,华夏消费升级灵活配置混合A,-14.66,-18.96,-18.06,-19.43,5.03,-21.31,25.2,混合型
